"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","null_votes","blanco_votes","total_votes","valid_votes","valid_votes2","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","national_winner","votes_national_winner"
"Norway","NOR","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,421,421,NA,188,"VIENOTIBA",77,"Visu Latvijai Tevzemei un Brivibai LNNK",53,"Zalo un Zemnieku savieniba",41,"Saskanas Centrs",20,"Par Labu Latviju",10,"NA",10,"Pedeja partija",6,"Kristigi demokratiska savieniba",5,"ATBILDIBA",4,"Par prezidentalu republiku",3,"PCTVL",2,"Tautas kontrole",2,"Daugava Latvijai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",188
"Poland","POL","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,128,128,NA,62,"VIENOTIBA",21,"Saskanas Centrs",17,"Visu Latvijai Tevzemei un Brivibai LNNK",12,"Zalo un Zemnieku savieniba",7,"Par Labu Latviju",4,"PCTVL",2,"ATBILDIBA",1,"Par prezidentalu republiku",1,"Daugava Latvijai",1,"Pedeja partija",0,"NA",0,"Tautas kontrole",0,"Kristigi demokratiska savieniba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",62
"Portugal","PRT","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,60,60,NA,37,"VIENOTIBA",6,"Saskanas Centrs",6,"Visu Latvijai Tevzemei un Brivibai LNNK",4,"Zalo un Zemnieku savieniba",3,"Pedeja partija",2,"Par Labu Latviju",1,"Par prezidentalu republiku",1,"ATBILDIBA",0,"PCTVL",0,"NA",0,"Tautas kontrole",0,"Daugava Latvijai",0,"Kristigi demokratiska savieniba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",37
"Finland","FIN","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,164,164,NA,75,"VIENOTIBA",27,"Saskanas Centrs",23,"Zalo un Zemnieku savieniba",19,"Visu Latvijai Tevzemei un Brivibai LNNK",13,"Par Labu Latviju",2,"PCTVL",2,"Pedeja partija",1,"NA",1,"Tautas kontrole",1,"Par prezidentalu republiku",0,"ATBILDIBA",0,"Daugava Latvijai",0,"Kristigi demokratiska savieniba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",75
"Spain","ESP","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,58,58,NA,29,"VIENOTIBA",9,"Par Labu Latviju",7,"Saskanas Centrs",3,"PCTVL",3,"Zalo un Zemnieku savieniba",3,"Visu Latvijai Tevzemei un Brivibai LNNK",2,"NA",1,"Pedeja partija",1,"Kristigi demokratiska savieniba",0,"Tautas kontrole",0,"Par prezidentalu republiku",0,"ATBILDIBA",0,"Daugava Latvijai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",29
"Switzerland","CHE","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,102,102,NA,63,"VIENOTIBA",12,"Visu Latvijai Tevzemei un Brivibai LNNK",10,"Saskanas Centrs",7,"Zalo un Zemnieku savieniba",6,"PCTVL",3,"Par Labu Latviju",1,"Kristigi demokratiska savieniba",0,"NA",0,"Tautas kontrole",0,"Par prezidentalu republiku",0,"ATBILDIBA",0,"Daugava Latvijai",0,"Pedeja partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",63
"Ukraine","UKR","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,50,50,NA,18,"VIENOTIBA",11,"Saskanas Centrs",7,"Par Labu Latviju",5,"Visu Latvijai Tevzemei un Brivibai LNNK",4,"Pedeja partija",3,"Zalo un Zemnieku savieniba",2,"PCTVL",0,"NA",0,"Tautas kontrole",0,"Par prezidentalu republiku",0,"ATBILDIBA",0,"Daugava Latvijai",0,"Kristigi demokratiska savieniba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",18
"Hungary","HUN","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,33,33,NA,21,"VIENOTIBA",3,"Zalo un Zemnieku savieniba",3,"Par Labu Latviju",2,"NA",2,"Saskanas Centrs",2,"Visu Latvijai Tevzemei un Brivibai LNNK",0,"PCTVL",0,"Tautas kontrole",0,"Par prezidentalu republiku",0,"ATBILDIBA",0,"Daugava Latvijai",0,"Pedeja partija",0,"Kristigi demokratiska savieniba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",21
"Uzbekistan","UZB","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,19,19,NA,10,"VIENOTIBA",4,"Par Labu Latviju",2,"Zalo un Zemnieku savieniba",1,"PCTVL",1,"Saskanas Centrs",1,"Visu Latvijai Tevzemei un Brivibai LNNK",0,"NA",0,"Tautas kontrole",0,"Par prezidentalu republiku",0,"ATBILDIBA",0,"Daugava Latvijai",0,"Pedeja partija",0,"Kristigi demokratiska savieniba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",10
"Germany","DEU","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,486,486,NA,298,"VIENOTIBA",67,"Saskanas Centrs",38,"Visu Latvijai Tevzemei un Brivibai LNNK",37,"Zalo un Zemnieku savieniba",16,"Par Labu Latviju",13,"Pedeja partija",4,"ATBILDIBA",3,"PCTVL",2,"NA",2,"Tautas kontrole",2,"Par prezidentalu republiku",2,"Daugava Latvijai",2,"Kristigi demokratiska savieniba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",298
"Sweden","SWE","Latvia","LVA",2010-10-02,"Legislative",NA,NA,NA,NA,743,743,NA,416,"VIENOTIBA",88,"Saskanas Centrs",84,"Zalo un Zemnieku savieniba",78,"Visu Latvijai Tevzemei un Brivibai LNNK",31,"Par Labu Latviju",13,"Pedeja partija",12,"PCTVL",7,"NA",7,"Par prezidentalu republiku",4,"ATBILDIBA",2,"Kristigi demokratiska savieniba",1,"Daugava Latvijai",0,"Tautas kontrole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIENOTIBA",416
"US","USA","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,1473,1473,NA,828,"Jaunais laiks",349,"Apvieniba Tevzemei un Brivibai/LNNK",133,"Tautas partija",74,"Zalo un Zemnieku savieniba",36,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",15,"Saskanas Centrs",15,"Partija Visu Latvijai!",7,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",5,"Latvijas Socialdemokratiska Stradnieku partija",3,"Jaunie Demokrati",2,"Politiska patriotiska apvieniba DZIMTENE",2,"Nacionala Speka Savieniba",2,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",1,"MARAS ZEME",1,"Partija Musu zeme",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Partija Tevzemes savieniba",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",133
"Argentina","ARG","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,43,43,NA,18,"Apvieniba Tevzemei un Brivibai/LNNK",7,"Jaunais laiks",6,"Zalo un Zemnieku savieniba",5,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",4,"Partija Visu Latvijai!",2,"Tautas partija",1,"Partija Musu zeme",0,"MARAS ZEME",0,"Saskanas Centrs",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"Jaunie Demokrati",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",2
"Australia","AUS","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,609,609,NA,396,"Jaunais laiks",135,"Apvieniba Tevzemei un Brivibai/LNNK",37,"Tautas partija",28,"Zalo un Zemnieku savieniba",5,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",2,"Partija Visu Latvijai!",2,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",1,"MARAS ZEME",1,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",1,"Partija Musu zeme",1,"Partija Tevzemes savieniba",0,"Saskanas Centrs",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Nacionala Speka Savieniba",0,"Jaunie Demokrati",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",37
"Austria","AUT","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,117,117,NA,41,"Jaunais laiks",34,"Tautas partija",13,"Zalo un Zemnieku savieniba",9,"Apvieniba Tevzemei un Brivibai/LNNK",8,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",5,"Saskanas Centrs",4,"Partija Visu Latvijai!",1,"MARAS ZEME",1,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",1,"Jaunie Demokrati",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Partija Musu zeme",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",34
"Belarus","BLR","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,51,51,NA,12,"Saskanas Centrs",12,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",9,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",3,"Zalo un Zemnieku savieniba",3,"Tautas partija",3,"Apvieniba Tevzemei un Brivibai/LNNK",2,"Partija Visu Latvijai!",2,"Jaunais laiks",1,"MARAS ZEME",1,"Politiska patriotiska apvieniba DZIMTENE",1,"Partija Musu zeme",1,"Jaunie Demokrati",1,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",3
"Belgium","BEL","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,428,428,NA,155,"Jaunais laiks",86,"Tautas partija",60,"Apvieniba Tevzemei un Brivibai/LNNK",40,"Zalo un Zemnieku savieniba",33,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",15,"Saskanas Centrs",15,"Jaunie Demokrati",7,"Latvijas Socialdemokratiska Stradnieku partija",5,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",3,"Partija Visu Latvijai!",3,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",2,"Nacionala Speka Savieniba",1,"MARAS ZEME",1,"Politiska organizacija (partija) Eiroskeptiki",1,"Partija Tevzemes savieniba",1,"Sociala Taisniguma partija",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Partija Musu zeme",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",86
"Brazil","BRA","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,36,36,NA,19,"Tautas partija",9,"Apvieniba Tevzemei un Brivibai/LNNK",7,"Jaunais laiks",1,"Partija Tevzemes savieniba",0,"MARAS ZEME",0,"Saskanas Centrs",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Partija Visu Latvijai!",0,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Zalo un Zemnieku savieniba",0,"Partija Musu zeme",0,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Nacionala Speka Savieniba",0,"Jaunie Demokrati",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",19
"Czechia","CZE","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,64,64,NA,14,"Tautas partija",12,"Jaunais laiks",11,"Saskanas Centrs",11,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",9,"Apvieniba Tevzemei un Brivibai/LNNK",3,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",2,"Zalo un Zemnieku savieniba",2,"Jaunie Demokrati",0,"MARAS ZEME",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Partija Visu Latvijai!",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Partija Musu zeme",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",14
"Denmark","DNK","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,84,84,NA,33,"Jaunais laiks",15,"Tautas partija",8,"Zalo un Zemnieku savieniba",7,"Saskanas Centrs",6,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",5,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",5,"Apvieniba Tevzemei un Brivibai/LNNK",2,"Politiska patriotiska apvieniba DZIMTENE",1,"Partija Visu Latvijai!",1,"Latvijas Socialdemokratiska Stradnieku partija",1,"Jaunie Demokrati",0,"MARAS ZEME",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Partija Musu zeme",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",15
"France","FRA","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,155,155,NA,40,"Jaunais laiks",27,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",26,"Tautas partija",17,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",16,"Saskanas Centrs",14,"Apvieniba Tevzemei un Brivibai/LNNK",11,"Zalo un Zemnieku savieniba",1,"Partija Visu Latvijai!",1,"Politiska organizacija (partija) Eiroskeptiki",1,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",1,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"MARAS ZEME",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Partija Musu zeme",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"Jaunie Demokrati",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",26
"Greece","GRC","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,66,66,NA,13,"Apvieniba Tevzemei un Brivibai/LNNK",12,"Tautas partija",11,"Jaunais laiks",10,"Zalo un Zemnieku savieniba",7,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",4,"Saskanas Centrs",4,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",2,"MARAS ZEME",1,"Politiska organizacija (partija) Eiroskeptiki",1,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",1,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Partija Visu Latvijai!",0,"Partija Musu zeme",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"Jaunie Demokrati",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",12
"Estonia","EST","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,344,344,NA,75,"Tautas partija",75,"Jaunais laiks",44,"Zalo un Zemnieku savieniba",38,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",30,"Apvieniba Tevzemei un Brivibai/LNNK",22,"Saskanas Centrs",21,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",11,"Jaunie Demokrati",9,"Latvijas Socialdemokratiska Stradnieku partija",5,"Politiska patriotiska apvieniba DZIMTENE",3,"MARAS ZEME",3,"Partija Visu Latvijai!",3,"Sociala Taisniguma partija",2,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",1,"Politiska organizacija (partija) Eiroskeptiki",1,"Partija Musu zeme",1,"Nacionala Speka Savieniba",0,"Partija Tevzemes savieniba",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",75
"Ireland","IRL","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,537,537,NA,107,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",72,"Zalo un Zemnieku savieniba",72,"Tautas partija",69,"Saskanas Centrs",67,"Jaunais laiks",43,"Apvieniba Tevzemei un Brivibai/LNNK",38,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",26,"Jaunie Demokrati",11,"Politiska patriotiska apvieniba DZIMTENE",11,"Latvijas Socialdemokratiska Stradnieku partija",8,"Partija Visu Latvijai!",4,"MARAS ZEME",3,"Partija Musu zeme",2,"Politiska organizacija (partija) Eiroskeptiki",2,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",1,"Partija Tevzemes savieniba",1,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Nacionala Speka Savieniba",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",72
"Italy","ITA","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,20,20,NA,9,"Jaunais laiks",4,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",3,"Zalo un Zemnieku savieniba",2,"Apvieniba Tevzemei un Brivibai/LNNK",1,"Jaunie Demokrati",1,"Tautas partija",0,"MARAS ZEME",0,"Saskanas Centrs",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Partija Visu Latvijai!",0,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Partija Musu zeme",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",1
"Israel","ISR","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,51,51,NA,13,"Saskanas Centrs",10,"Jaunais laiks",7,"Tautas partija",6,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",4,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",4,"Apvieniba Tevzemei un Brivibai/LNNK",2,"Politiska patriotiska apvieniba DZIMTENE",2,"Latvijas Socialdemokratiska Stradnieku partija",1,"Zalo un Zemnieku savieniba",1,"Partija Musu zeme",1,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"MARAS ZEME",0,"Partija Visu Latvijai!",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"Jaunie Demokrati",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",7
"Japan","JPN","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,20,20,NA,10,"Tautas partija",4,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",3,"Jaunais laiks",2,"Apvieniba Tevzemei un Brivibai/LNNK",1,"Politiska organizacija (partija) Eiroskeptiki",0,"MARAS ZEME",0,"Saskanas Centrs",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Partija Visu Latvijai!",0,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",0,"Zalo un Zemnieku savieniba",0,"Partija Musu zeme",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"Jaunie Demokrati",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",10
"Canada","CAN","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,692,692,NA,316,"Jaunais laiks",280,"Apvieniba Tevzemei un Brivibai/LNNK",48,"Tautas partija",20,"Zalo un Zemnieku savieniba",7,"Partija Visu Latvijai!",5,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",4,"Saskanas Centrs",4,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",2,"Politiska patriotiska apvieniba DZIMTENE",2,"Nacionala Speka Savieniba",1,"Latvijas Socialdemokratiska Stradnieku partija",1,"Partija Tevzemes savieniba",1,"Jaunie Demokrati",1,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"MARAS ZEME",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Partija Musu zeme",0,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",48
"China","CHN","Latvia","LVA",2006-10-07,"Legislative",NA,NA,NA,NA,23,23,NA,7,"Jaunais laiks",6,"Tautas partija",3,"Latvijas Pirmas partijas un partijas Latvijas Cels velesanu apvieniba",3,"Apvieniba Tevzemei un Brivibai/LNNK",2,"Saskanas Centrs",1,"Zalo un Zemnieku savieniba",1,"Jaunie Demokrati",0,"MARAS ZEME",0,"Politiska patriotiska apvieniba DZIMTENE",0,"Partija Visu Latvijai!",0,"Politisko organizaciju apvieniba Par cilveka tiesibam vienota Latvija",0,"Politiska organizacija (partija) Eiroskeptiki",0,"Partija Musu zeme",0,"Latvijas Socialdemokratiska Stradnieku partija",0,"Partija Tevzemes savieniba",0,"Nacionala Speka Savieniba",0,"LATVIESU LATVIJA nacionalpolitiska Latviesu Aizstavibas Organizacija",0,"Politiska organizacija PENSIONARU UN SENIORU PARTIJA",0,"Sociala Taisniguma partija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tautas partija",6
